SCHOOL,STATE,CITY,NOC,PROGRAM,TYPE,DEPARTMENT,DELIVERY,Credits,PREREQ,LINK,LOC_LAT,LOC_LONG,COUNTRY,TEACHING,INTERNATIONAL,RESEARCH,INCOME,TOTAL_SCORE,NUM_STUDENTS,STUDENT_STAFF_RATIO,INTERNATIONAL_STUDENTS,YEAR
Albright College,Pennsylvania,Reading,1,M.S. in Business Intelligence,M,Erivan K. Haub School of Business,Online,30,Not Available,http://www.albright.edu/accelerated/masters-degree-articulations.html,40.3602,-75.9101,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.92,17%,2013
American Sentinel University,Colorado,Aurora,1,Master of Science Business Intelligence and Analytics (MSBIA),M,Not Available,Online,36,Not Available,http://www.americansentinel.edu/management/m-s-business-intelligence,39.6766,-104.831,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",18,17%,2013
American University,D.C.,Washington,2,Online MBA with Analytics Concentration,M,Kogod School of Business,Online,30,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,United States of America,42.2,28.9,16.5,35.9,67.6,"11,604",11.04,12%,2016
American University,D.C.,Washington,2,Master of Science in  Analytics,M,Kogod School of Business,Online,33,Not Available,http://www.american.edu/kogod/graduate/MS-ANLT.cfm,38.9378,-77.0901,United States of America,42.2,28.9,16.5,35.9,67.6,"11,604",11.04,12%,2016
Arizona State University,Arizona,Tempe,1,Master of Science in Business Analytics,M,W.P. Carey School of Business,"Online or 
Campus",24,Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,United States of America,33.8,28.6,35.9,31.4,48.9,"83,236",17,9%,2014
Arizona State University,Arizona,Tempe,1,Master of Science in Business Analytics,M,W.P. Carey School of Business,"Online or 
Campus",24,Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,United States of America,43,24.1,44.1,46.54,50.3,"83,236",17,9%,2011
Arizona State University,Arizona,Tempe,1,Master of Science in Business Analytics,M,W.P. Carey School of Business,"Online or 
Campus",24,Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,United States of America,38.4,27.4,45.2,31.8,51.9,"83,236",17,9%,2013
Arizona State University,Arizona,Tempe,1,Master of Science in Business Analytics,M,W.P. Carey School of Business,"Online or 
Campus",24,Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,United States of America,38.2,26.1,39,28.7,49.9,"83,236",17,9%,2012
Arizona State University,Arizona,Tempe,1,Master of Science in Business Analytics,M,W.P. Carey School of Business,"Online or 
Campus",24,Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,United States of America,35.7,29.5,37.5,32.6,46.9,"83,236",17,9%,2015
Arizona State University,Arizona,Tempe,1,Master of Science in Business Analytics,M,W.P. Carey School of Business,"Online or 
Campus",24,Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,United States of America,32.4,31.9,38.1,32,49.7,"83,236",17,9%,2016
Aspen University,Colorado,Denver,1,Master of Science in Technology and Innovation - Business Intelligence and Data Management,M,Not Available,Online,36,Not Available,http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management,39.7037,-104.94,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",18,17%,2013
Auburn University,Alabama,Auburn University,1,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,United States of America,30.2,27.9,19.4,37.2,67.6,"22,386",13.07,4%,2016
Auburn University,Alabama,Auburn University,1,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,United States of America,33.7,22.5,18.7,47.3,67.6,"22,386",13.07,4%,2012
Aurora University,Illinois,Aurora,1,Master of Science in Digital Marketing and Analytics,M,Dunham School of Business,Campus,30,Not Available,http://www.aurora.edu/academics/graduate/marketing/index.html,41.7545,-88.3495,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",12.39,17%,2013
Austin Peay State University,Tennessee,Clarksville,2,Professional Science Master's in Data Management and Analysis,M,Department of Computer Science and Information Technology,Online,36,Not Available,http://www.apsu.edu/admissions/apply,36.5333,-87.3541,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.56,17%,2013
Austin Peay State University,Tennessee,Clarksville,2,Professional Science Master's Degree in Predictive Analytics,M,Department of Mathematics and Statistics,Online,36,Not Available,https://www.apsu.edu/csci/psm-information,36.5333,-87.3541,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.56,17%,2013
Babson College,Massachusetts,Wellesley,1,MBA with Business Analytics Concentration,M,F.W. Olin Graduate School of Business,Campus,25,Not Available,http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx,42.2965,-71.2695,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Baker College,Michigan,Allen Park,1,MBA in Business Intelligence,M,Baker College,Online,53,Not Available,http://www.baker.edu/programs-degrees/business-intelligence-master-ba/,42.2745,-83.2032,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",14.43,17%,2013
Bay Path University,Massachusetts,Longmeadow,1,MS in Applied Data Science,M,Graduate school,"Online or 
Campus",36,"math, statistics",http://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/,42.0554,-72.584,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.93,17%,2013
Bellevue College,Washington,Bellevue,1,Healthcare Data Analyst Certificate,C,Bellevue College Continuing Education,Campus,30,"computer science, math",http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/,47.5848,-122.15,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",11.56,17%,2013
Bellevue University,Nebraska,Bellevue,2,Master of Professional Science in Technology Innovation with Focus in Bioinformatics,M,College of Science and Technology,Online,40,Not Available,http://www.bellevue.edu/degrees/graduate/innovation-entrepreneurship-mps/major-requirements.aspx,41.1502,-95.9176,United States of America,55.9,44.56,52.23,46.54,67.6,"24,349",10.67,17%,2013
